Unnamed: 0,LEA_STATE,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_DISCWODIS_REF_BL_M,SCH_DISCWODIS_REF_BL_F,SCH_DISCWODIS_REF_WH_M,SCH_DISCWODIS_REF_WH_F,SCH_DISCWODIS_ARR_BL_M,SCH_DISCWODIS_ARR_BL_F,SCH_DISCWODIS_ARR_WH_M,SCH_DISCWODIS_ARR_WH_F,SCH_DISCWODIS_CORP_BL_M,SCH_DISCWODIS_CORP_BL_F,SCH_DISCWODIS_CORP_WH_M,SCH_DISCWODIS_CORP_WH_F,SCH_DISCWODIS_EXPWE_BL_M,SCH_DISCWODIS_EXPWE_BL_F,SCH_DISCWODIS_EXPWE_WH_M,SCH_DISCWODIS_EXPWE_WH_F,SCH_DISCWODIS_EXPWOE_BL_M,SCH_DISCWODIS_EXPWOE_BL_F,SCH_DISCWODIS_EXPWOE_WH_M,SCH_DISCWODIS_EXPWOE_WH_F,SCH_DISCWODIS_ISS_BL_M,SCH_DISCWODIS_ISS_BL_F,SCH_DISCWODIS_ISS_WH_M,SCH_DISCWODIS_ISS_WH_F,SCH_DISCWODIS_SINGOOS_BL_M,SCH_DISCWODIS_SINGOOS_BL_F,SCH_DISCWODIS_SINGOOS_WH_M,SCH_DISCWODIS_SINGOOS_WH_F,SCH_DISCWODIS_MULTOOS_BL_M,SCH_DISCWODIS_MULTOOS_BL_F,SCH_DISCWODIS_MULTOOS_WH_M,SCH_DISCWODIS_MULTOOS_WH_F,total_enrollment,total_enrollment_bl,total_enrollment_wh,total_punishment,total_punishment_bl,total_punishment_wh,STATEFP,prop_punishment_bl,prop_punishment_wh,prop_bl,prop_wh,prop_punishment,prop_punishment_comp
11,GA,330631,320261,362717,339819,1665,894,956,382,738,419,371,131,1209,366,977,188,2294,1006,1016,373,379,139,172,61,42017,25999,26681,10798,22299,14267,9134,3556,14755,7216,3487,873,1353428,650892,702536,194818,135662,59156,13,0.100235845571394,0.0437082726232943,0.480921039020916,0.519078960979084,0.14394411819468803,0.12422123222212199
12,HI,1589,1524,11549,10539,10,1,37,17,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,30,8,114,35,48,20,242,95,18,6,77,24,25201,3113,22088,787,142,645,15,0.0056346970358319105,0.02559422245149,0.12352684417285001,0.87647315582715,0.0312289194873219,0.016413785910006
13,IA,16229,15045,198371,185740,205,137,632,338,113,90,216,114,0,0,0,0,66,39,113,50,9,3,17,7,1154,587,6232,2161,980,687,3537,1466,595,318,1273,420,415385,31274,384111,21559,4983,16576,19,0.0119961000036111,0.0399051482359739,0.0752891895470467,0.924710810452953,0.051901248239585,0.11617943936287599
14,ID,1710,1580,119171,111297,10,8,587,236,3,2,24,10,0,0,0,0,6,1,146,47,2,1,102,29,140,48,3818,1319,57,23,2169,677,30,4,828,230,233758,3290,230468,10557,335,10222,16,0.0014331060327347099,0.0437289846764603,0.0140743846199916,0.9859256153800079,0.045162090709194996,0.0574704791249923
15,IL,170049,165773,494836,461667,2120,2041,1581,707,193,155,420,166,52,39,1,2,278,198,326,107,102,60,55,18,16459,11274,18302,6977,8131,6061,6918,2790,6437,3964,2910,904,1292325,335822,956503,99748,57564,42184,17,0.0445429748708723,0.032641943783491,0.259858781653222,0.740141218346778,0.0771849186543633,0.127309917694233
16,IN,66620,64168,368259,345209,225,159,1040,518,195,138,507,280,0,0,5,2,184,82,557,292,422,273,944,331,6535,4188,16743,6913,5919,4173,10416,4121,5071,2581,4904,1589,844256,130788,713468,79307,30145,49162,18,0.0357059943903271,0.0582311526361672,0.154915096842664,0.845084903157336,0.0939371470264943,0.16158182327291
17,KS,17473,16519,160869,150867,116,81,556,202,51,23,202,49,0,0,0,0,12,9,98,24,29,10,119,24,2156,1120,6837,2427,1311,796,3501,1321,1006,544,1669,417,345728,33992,311736,24710,7264,17446,20,0.0210107367641614,0.0504616345797853,0.0983200666419844,0.901679933358016,0.0714723713439467,0.15773331971257298
18,KY,36848,35189,269540,251293,280,181,1151,482,72,63,96,42,1,0,131,17,119,73,347,112,2,0,2,1,8427,5737,24627,10925,2530,1665,7836,3671,2288,1477,3773,1444,592870,72037,520833,77572,22915,54657,21,0.0386509690151298,0.0921905308077656,0.121505557710797,0.8784944422892029,0.130841499822895,0.21315891345461802
19,LA,158354,153048,165288,154902,398,276,196,100,240,137,97,49,589,167,348,42,1703,955,723,255,110,60,46,16,17918,11985,10403,4207,10254,7206,5864,2352,7880,4286,2664,730,631592,311402,320190,92256,64164,28092,22,0.101590900454724,0.0444780807863304,0.49304297711180606,0.506957022888194,0.14606898124105402,0.11831336586666999
20,MA,44805,42371,293148,278297,67,43,276,126,21,20,36,8,0,0,0,0,15,16,25,10,11,3,53,5,1701,831,4198,1603,1719,984,3699,1438,951,441,1330,499,658621,87176,571445,20129,6823,13306,25,0.0103595239143605,0.0202028177054786,0.13236140359933898,0.8676385964006609,0.030562341619839003,0.0549821236464587
21,MD,157802,150622,170105,160813,938,700,447,193,556,434,250,108,0,0,0,0,115,40,53,24,1,0,0,0,1849,941,1755,534,6821,4705,3065,1235,3308,1882,1142,431,639342,308424,330918,31527,22290,9237,24,0.0348639695186614,0.0144476665071276,0.482408476214608,0.5175915237853921,0.049311636025788995,0.0443573809389093
